,Kecamatan,DaerahTingkatDua,Provinsi,KodeWilayah
3942,Timpah,Kab. Kapuas,Kalimantan Tengah,620310
3943,Dusun Hilir,Kab. Barito Selatan,Kalimantan Tengah,620402
3944,Dusun Selatan,Kab. Barito Selatan,Kalimantan Tengah,620406
3945,Dusun Utara,Kab. Barito Selatan,Kalimantan Tengah,620404
3946,Gunung Bintang Awai,Kab. Barito Selatan,Kalimantan Tengah,620405
3947,Jenamas,Kab. Barito Selatan,Kalimantan Tengah,620401
3948,Karau Kuala,Kab. Barito Selatan,Kalimantan Tengah,620403
3949,Gunung Purei,Kab. Barito Utara,Kalimantan Tengah,620503
3950,Gunung Timang,Kab. Barito Utara,Kalimantan Tengah,620502
3951,Lahei,Kab. Barito Utara,Kalimantan Tengah,620506
3952,Lahei Barat,Kab. Barito Utara,Kalimantan Tengah,620509
3953,Montallat (Montalat),Kab. Barito Utara,Kalimantan Tengah,620501
3954,Teweh Baru,Kab. Barito Utara,Kalimantan Tengah,620507
3955,Teweh Selatan,Kab. Barito Utara,Kalimantan Tengah,620508
3956,Teweh Tengah,Kab. Barito Utara,Kalimantan Tengah,620505
3957,Teweh Timur,Kab. Barito Utara,Kalimantan Tengah,620504
3958,Bukit Raya,Kab. Katingan,Kalimantan Tengah,620613
3959,Kamipang,Kab. Katingan,Kalimantan Tengah,620601
3960,Katingan Hilir,Kab. Katingan,Kalimantan Tengah,620602
3961,Katingan Hulu,Kab. Katingan,Kalimantan Tengah,620608
3962,Katingan Kuala,Kab. Katingan,Kalimantan Tengah,620610
3963,Katingan Tengah,Kab. Katingan,Kalimantan Tengah,620605
3964,Marikit,Kab. Katingan,Kalimantan Tengah,620607
3965,Mendawai,Kab. Katingan,Kalimantan Tengah,620609
3966,Petak Malai,Kab. Katingan,Kalimantan Tengah,620612
3967,Pulau Malan,Kab. Katingan,Kalimantan Tengah,620604
3968,Sanaman Mantikei (Senamang Mantikei),Kab. Katingan,Kalimantan Tengah,620606
3969,Tasik Payawan,Kab. Katingan,Kalimantan Tengah,620611
3970,Tewang Sangalang / Sanggalang Garing,Kab. Katingan,Kalimantan Tengah,620603
3971,Batu Ampar,Kab. Seruyan,Kalimantan Tengah,620709
3972,Danau Seluluk,Kab. Seruyan,Kalimantan Tengah,620708
3973,Danau Sembuluh,Kab. Seruyan,Kalimantan Tengah,620703
3974,Hanau,Kab. Seruyan,Kalimantan Tengah,620704
3975,Seruyan Hilir,Kab. Seruyan,Kalimantan Tengah,620701
3976,Seruyan Hilir Timur,Kab. Seruyan,Kalimantan Tengah,620706
3977,Seruyan Hulu,Kab. Seruyan,Kalimantan Tengah,620705
3978,Seruyan Raya,Kab. Seruyan,Kalimantan Tengah,620707
3979,Seruyan Tengah,Kab. Seruyan,Kalimantan Tengah,620702
3980,Suling Tambun,Kab. Seruyan,Kalimantan Tengah,620710
3981,Balai Riam,Kab. Sukamara,Kalimantan Tengah,620803
3982,Jelai,Kab. Sukamara,Kalimantan Tengah,620802
3983,Pantai Lunci,Kab. Sukamara,Kalimantan Tengah,620804
3984,Permata Kecubung,Kab. Sukamara,Kalimantan Tengah,620805
3985,Sukamara,Kab. Sukamara,Kalimantan Tengah,620801
3986,Batang Kawa,Kab. Lamandau,Kalimantan Tengah,620908
3987,Belantikan Raya,Kab. Lamandau,Kalimantan Tengah,620907
3988,Bulik,Kab. Lamandau,Kalimantan Tengah,620903
3989,Bulik Timur,Kab. Lamandau,Kalimantan Tengah,620904
3990,Delang,Kab. Lamandau,Kalimantan Tengah,620902
3991,Lamandau,Kab. Lamandau,Kalimantan Tengah,620901
3992,Menthobi Raya,Kab. Lamandau,Kalimantan Tengah,620905
3993,Sematu Jaya,Kab. Lamandau,Kalimantan Tengah,620906
3994,Damang Batu,Kab. Gunung Mas,Kalimantan Tengah,621008
3995,Kahayan Hulu Utara,Kab. Gunung Mas,Kalimantan Tengah,621004
3996,Kurun,Kab. Gunung Mas,Kalimantan Tengah,621002
3997,Mahuning Raya (Manuhing Raya),Kab. Gunung Mas,Kalimantan Tengah,621011
3998,Manuhing,Kab. Gunung Mas,Kalimantan Tengah,621006
3999,Mihing Raya,Kab. Gunung Mas,Kalimantan Tengah,621007
4000,Miri Manasa,Kab. Gunung Mas,Kalimantan Tengah,621009
4001,Rungan,Kab. Gunung Mas,Kalimantan Tengah,621005
4002,Rungan Barat,Kab. Gunung Mas,Kalimantan Tengah,621012
4003,Rungan Hulu,Kab. Gunung Mas,Kalimantan Tengah,621010
4004,Sepang (Sepang Simin),Kab. Gunung Mas,Kalimantan Tengah,621001
4005,Tewah,Kab. Gunung Mas,Kalimantan Tengah,621003
4006,Banama Tingang,Kab. Pulang Pisau,Kalimantan Tengah,621104
4007,Jabiren (Jabiren Raya),Kab. Pulang Pisau,Kalimantan Tengah,621107
4008,Kahayan Hilir,Kab. Pulang Pisau,Kalimantan Tengah,621105
4009,Kahayan Kuala,Kab. Pulang Pisau,Kalimantan Tengah,621102
4010,Kahayan Tengah,Kab. Pulang Pisau,Kalimantan Tengah,621103
4011,Maliku,Kab. Pulang Pisau,Kalimantan Tengah,621106
4012,Pandih Batu,Kab. Pulang Pisau,Kalimantan Tengah,621101
4013,Sebangau Kuala,Kab. Pulang Pisau,Kalimantan Tengah,621108
4014,Barito Tuhup Raya,Kab. Murung Raya,Kalimantan Tengah,621206
4015,Laung Tuhup,Kab. Murung Raya,Kalimantan Tengah,621203
4016,Murung,Kab. Murung Raya,Kalimantan Tengah,621201
4017,Permata Intan,Kab. Murung Raya,Kalimantan Tengah,621204
4018,Seribu Riam,Kab. Murung Raya,Kalimantan Tengah,621209
4019,Sumber Barito,Kab. Murung Raya,Kalimantan Tengah,621205
4020,Sungai Babuat,Kab. Murung Raya,Kalimantan Tengah,621208
4021,Tanah Siang,Kab. Murung Raya,Kalimantan Tengah,621202
4022,Tanah Siang Selatan,Kab. Murung Raya,Kalimantan Tengah,621207
4023,Uut Murung,Kab. Murung Raya,Kalimantan Tengah,621210
4024,Awang,Kab. Barito Timur,Kalimantan Tengah,621304
4025,Banua Lima,Kab. Barito Timur,Kalimantan Tengah,621302
4026,Dusun Tengah,Kab. Barito Timur,Kalimantan Tengah,621305
4027,Dusun Timur,Kab. Barito Timur,Kalimantan Tengah,621301
4028,Karusen Janang,Kab. Barito Timur,Kalimantan Tengah,621310
4029,Paju Epat,Kab. Barito Timur,Kalimantan Tengah,621307
4030,Paku,Kab. Barito Timur,Kalimantan Tengah,621309
4031,Patangkep Tutui,Kab. Barito Timur,Kalimantan Tengah,621303
4032,Pematang Karau,Kab. Barito Timur,Kalimantan Tengah,621306
4033,Raren Batuah,Kab. Barito Timur,Kalimantan Tengah,621308
4034,Bukit Batu,Kota Palangka Raya,Kalimantan Tengah,627102
4035,Jekan Raya,Kota Palangka Raya,Kalimantan Tengah,627103
4036,Pahandut,Kota Palangka Raya,Kalimantan Tengah,627101
4037,Rakumpit,Kota Palangka Raya,Kalimantan Tengah,627105
4038,Sabangau (Sebangau),Kota Palangka Raya,Kalimantan Tengah,627104
4039,Bajuin,Kab. Tanah Laut,Kalimantan Selatan,630110
4040,Bati-Bati,Kab. Tanah Laut,Kalimantan Selatan,630105
4041,Batu Ampar,Kab. Tanah Laut,Kalimantan Selatan,630109
4042,Bumi Makmur,Kab. Tanah Laut,Kalimantan Selatan,630111
4043,Jorong,Kab. Tanah Laut,Kalimantan Selatan,630102
4044,Kintap,Kab. Tanah Laut,Kalimantan Selatan,630107
4045,Kurau,Kab. Tanah Laut,Kalimantan Selatan,630104
4046,Panyipatan,Kab. Tanah Laut,Kalimantan Selatan,630106
4047,Pelaihari,Kab. Tanah Laut,Kalimantan Selatan,630103
4048,Takisung,Kab. Tanah Laut,Kalimantan Selatan,630101
4049,Tambang Ulang,Kab. Tanah Laut,Kalimantan Selatan,630108
4050,Hampang,Kab. Kotabaru,Kalimantan Selatan,630214
4051,Kelumpang Barat,Kab. Kotabaru,Kalimantan Selatan,630218
4052,Kelumpang Hilir,Kab. Kotabaru,Kalimantan Selatan,630217
4053,Kelumpang Hulu,Kab. Kotabaru,Kalimantan Selatan,630208
4054,Kelumpang Selatan,Kab. Kotabaru,Kalimantan Selatan,630207
4055,Kelumpang Tengah,Kab. Kotabaru,Kalimantan Selatan,630209
4056,Kelumpang Utara,Kab. Kotabaru,Kalimantan Selatan,630210
4057,Pamukan Barat,Kab. Kotabaru,Kalimantan Selatan,630219
4058,Pamukan Selatan,Kab. Kotabaru,Kalimantan Selatan,630211
4059,Pamukan Utara,Kab. Kotabaru,Kalimantan Selatan,630213
4060,Pulau Laut / Pulaulaut Barat,Kab. Kotabaru,Kalimantan Selatan,630202
4061,Pulau Laut / Pulaulaut Kepulauan,Kab. Kotabaru,Kalimantan Selatan,630220
4062,Pulau Laut / Pulaulaut Selatan,Kab. Kotabaru,Kalimantan Selatan,630203
4063,Pulau Laut / Pulaulaut Tanjung Selayar,Kab. Kotabaru,Kalimantan Selatan,630221
4064,Pulau Laut / Pulaulaut Tengah,Kab. Kotabaru,Kalimantan Selatan,630216
4065,Pulau Laut / Pulaulaut Timur,Kab. Kotabaru,Kalimantan Selatan,630204
4066,Pulau Laut / Pulaulaut Utara,Kab. Kotabaru,Kalimantan Selatan,630206
4067,Pulau Sebuku (Pulausebuku),Kab. Kotabaru,Kalimantan Selatan,630205
4068,Pulau Sembilan (Pulausembilan),Kab. Kotabaru,Kalimantan Selatan,630201
4069,Sampanahan,Kab. Kotabaru,Kalimantan Selatan,630212
4070,Sungai Durian (Sungaidurian),Kab. Kotabaru,Kalimantan Selatan,630215
4071,Aluh-Aluh,Kab. Banjar,Kalimantan Selatan,630301
4072,Aranio,Kab. Banjar,Kalimantan Selatan,630311
4073,Astambul,Kab. Banjar,Kalimantan Selatan,630307
4074,Beruntung Baru,Kab. Banjar,Kalimantan Selatan,630313
4075,Cintapuri Darussalam,Kab. Banjar,Kalimantan Selatan,630320
4076,Gambut,Kab. Banjar,Kalimantan Selatan,630303
4077,Karang Intan,Kab. Banjar,Kalimantan Selatan,630306
4078,Kertak Hanyar,Kab. Banjar,Kalimantan Selatan,630302
4079,Martapura (Martapura Kota),Kab. Banjar,Kalimantan Selatan,630305
4080,Martapura Barat,Kab. Banjar,Kalimantan Selatan,630314
4081,Martapura Timur,Kab. Banjar,Kalimantan Selatan,630315
4082,Mataraman,Kab. Banjar,Kalimantan Selatan,630312
4083,Paramasan (Peramasan),Kab. Banjar,Kalimantan Selatan,630317
4084,Pengarom (Pengaron),Kab. Banjar,Kalimantan Selatan,630309
4085,Sambung Makmur,Kab. Banjar,Kalimantan Selatan,630316
4086,Sei/Sungai Pinang,Kab. Banjar,Kalimantan Selatan,630310
4087,Sei/Sungai Tabuk,Kab. Banjar,Kalimantan Selatan,630304
4088,Simpang Empat,Kab. Banjar,Kalimantan Selatan,630308
4089,Tatah Makmur,Kab. Banjar,Kalimantan Selatan,630319
4090,Telaga Bauntung,Kab. Banjar,Kalimantan Selatan,630318
4091,Alalak,Kab. Barito Kuala,Kalimantan Selatan,630405
4092,Anjir Muara,Kab. Barito Kuala,Kalimantan Selatan,630404
4093,Anjir Pasar,Kab. Barito Kuala,Kalimantan Selatan,630403
4094,Bakumpai,Kab. Barito Kuala,Kalimantan Selatan,630410
4095,Barambai,Kab. Barito Kuala,Kalimantan Selatan,630414
4096,Belawang,Kab. Barito Kuala,Kalimantan Selatan,630408
4097,Cerbon,Kab. Barito Kuala,Kalimantan Selatan,630409
4098,Jejangkit,Kab. Barito Kuala,Kalimantan Selatan,630417
4099,Kuripan,Kab. Barito Kuala,Kalimantan Selatan,630411
4100,Mandastana,Kab. Barito Kuala,Kalimantan Selatan,630406
4101,Marabahan,Kab. Barito Kuala,Kalimantan Selatan,630415
4102,Mekarsari (Mekar Sari),Kab. Barito Kuala,Kalimantan Selatan,630413
4103,Rantau Badauh,Kab. Barito Kuala,Kalimantan Selatan,630407
4104,Tabukan,Kab. Barito Kuala,Kalimantan Selatan,630412
4105,Tabunganen,Kab. Barito Kuala,Kalimantan Selatan,630401
4106,Tamban,Kab. Barito Kuala,Kalimantan Selatan,630402
4107,Wanaraya,Kab. Barito Kuala,Kalimantan Selatan,630416
4108,Bakarangan,Kab. Tapin,Kalimantan Selatan,630507
4109,Binuang,Kab. Tapin,Kalimantan Selatan,630501
4110,Bungur,Kab. Tapin,Kalimantan Selatan,630509
4111,Candi Laras Selatan,Kab. Tapin,Kalimantan Selatan,630505
4112,Candi Laras Utara,Kab. Tapin,Kalimantan Selatan,630506
4113,Hatungun,Kab. Tapin,Kalimantan Selatan,630512
4114,Lokpaikat,Kab. Tapin,Kalimantan Selatan,630510
4115,Piani,Kab. Tapin,Kalimantan Selatan,630508
4116,Salam Babaris,Kab. Tapin,Kalimantan Selatan,630511
4117,Tapin Selatan,Kab. Tapin,Kalimantan Selatan,630502
4118,Tapin Tengah,Kab. Tapin,Kalimantan Selatan,630503
4119,Tapin Utara,Kab. Tapin,Kalimantan Selatan,630504
4120,Angkinang,Kab. Hulu Sungai Selatan,Kalimantan Selatan,630604
4121,Daha Barat,Kab. Hulu Sungai Selatan,Kalimantan Selatan,630611
4122,Daha Selatan,Kab. Hulu Sungai Selatan,Kalimantan Selatan,630607
4123,Daha Utara,Kab. Hulu Sungai Selatan,Kalimantan Selatan,630608
4124,Kalumpang (Kelumpang),Kab. Hulu Sungai Selatan,Kalimantan Selatan,630609
4125,Kandangan,Kab. Hulu Sungai Selatan,Kalimantan Selatan,630605
4126,Loksado,Kab. Hulu Sungai Selatan,Kalimantan Selatan,630610
4127,Padang Batung,Kab. Hulu Sungai Selatan,Kalimantan Selatan,630602
4128,Simpur,Kab. Hulu Sungai Selatan,Kalimantan Selatan,630606
4129,Sungai Raya,Kab. Hulu Sungai Selatan,Kalimantan Selatan,630601
4130,Telaga Langsat,Kab. Hulu Sungai Selatan,Kalimantan Selatan,630603
4131,Barabai,Kab. Hulu Sungai Tengah,Kalimantan Selatan,630706
4132,Batang Alai Selatan,Kab. Hulu Sungai Tengah,Kalimantan Selatan,630707
4133,Batang Alai Timur,Kab. Hulu Sungai Tengah,Kalimantan Selatan,630710
4134,Batang Alai Utara,Kab. Hulu Sungai Tengah,Kalimantan Selatan,630708
4135,Batu Benawa,Kab. Hulu Sungai Tengah,Kalimantan Selatan,630702
4136,Hantakan,Kab. Hulu Sungai Tengah,Kalimantan Selatan,630709
4137,Haruyan,Kab. Hulu Sungai Tengah,Kalimantan Selatan,630701
4138,Labuan Amas Selatan,Kab. Hulu Sungai Tengah,Kalimantan Selatan,630703
4139,Labuan Amas Utara,Kab. Hulu Sungai Tengah,Kalimantan Selatan,630704
4140,Limpasu,Kab. Hulu Sungai Tengah,Kalimantan Selatan,630711
4141,Pandawan,Kab. Hulu Sungai Tengah,Kalimantan Selatan,630705
4142,Amuntai Selatan,Kab. Hulu Sungai Utara,Kalimantan Selatan,630804
4143,Amuntai Tengah,Kab. Hulu Sungai Utara,Kalimantan Selatan,630805
4144,Amuntai Utara,Kab. Hulu Sungai Utara,Kalimantan Selatan,630806
4145,Babirik,Kab. Hulu Sungai Utara,Kalimantan Selatan,630802
4146,Banjang,Kab. Hulu Sungai Utara,Kalimantan Selatan,630807
4147,Danau Panggang,Kab. Hulu Sungai Utara,Kalimantan Selatan,630801
4148,Haur Gading,Kab. Hulu Sungai Utara,Kalimantan Selatan,630808
4149,Paminggir,Kab. Hulu Sungai Utara,Kalimantan Selatan,630809
4150,Sungai Pandan,Kab. Hulu Sungai Utara,Kalimantan Selatan,630803
4151,Sungai Tabukan,Kab. Hulu Sungai Utara,Kalimantan Selatan,630810
4152,Banua Lawas,Kab. Tabalong,Kalimantan Selatan,630901
4153,Bintang Ara,Kab. Tabalong,Kalimantan Selatan,630912
4154,Haruai,Kab. Tabalong,Kalimantan Selatan,630905
4155,Jaro,Kab. Tabalong,Kalimantan Selatan,630911
4156,Kelua (Klua),Kab. Tabalong,Kalimantan Selatan,630902
4157,Muara Harus,Kab. Tabalong,Kalimantan Selatan,630908
4158,Muara Uya,Kab. Tabalong,Kalimantan Selatan,630907
4159,Murung Pudak,Kab. Tabalong,Kalimantan Selatan,630906
4160,Pugaan,Kab. Tabalong,Kalimantan Selatan,630909
4161,Tanjung,Kab. Tabalong,Kalimantan Selatan,630904
4162,Tanta,Kab. Tabalong,Kalimantan Selatan,630903
4163,Upau,Kab. Tabalong,Kalimantan Selatan,630910
4164,Angsana,Kab. Tanah Bumbu,Kalimantan Selatan,631009
4165,Batu Licin (Batulicin),Kab. Tanah Bumbu,Kalimantan Selatan,631001
4166,Karang Bintang,Kab. Tanah Bumbu,Kalimantan Selatan,631007
4167,Kuranji,Kab. Tanah Bumbu,Kalimantan Selatan,631010
4168,Kusan Hilir,Kab. Tanah Bumbu,Kalimantan Selatan,631002
4169,Kusan Hulu,Kab. Tanah Bumbu,Kalimantan Selatan,631005
4170,Mantewe,Kab. Tanah Bumbu,Kalimantan Selatan,631008
4171,Satui,Kab. Tanah Bumbu,Kalimantan Selatan,631004
4172,Simpang Empat,Kab. Tanah Bumbu,Kalimantan Selatan,631006
4173,Sungai Loban,Kab. Tanah Bumbu,Kalimantan Selatan,631003
4174,Awayan,Kab. Balangan,Kalimantan Selatan,631103
4175,Batu Mandi,Kab. Balangan,Kalimantan Selatan,631104
4176,Halong,Kab. Balangan,Kalimantan Selatan,631102
4177,Juai,Kab. Balangan,Kalimantan Selatan,631101
4178,Lampihong,Kab. Balangan,Kalimantan Selatan,631105
4179,Paringin,Kab. Balangan,Kalimantan Selatan,631106
4180,Paringin Selatan,Kab. Balangan,Kalimantan Selatan,631107
4181,Tebing Tinggi,Kab. Balangan,Kalimantan Selatan,631108
4182,Banjarmasin Barat,Kota Banjarmasin,Kalimantan Selatan,637103
4183,Banjarmasin Selatan,Kota Banjarmasin,Kalimantan Selatan,637101
4184,Banjarmasin Tengah,Kota Banjarmasin,Kalimantan Selatan,637105
4185,Banjarmasin Timur,Kota Banjarmasin,Kalimantan Selatan,637102
4186,Banjarmasin Utara,Kota Banjarmasin,Kalimantan Selatan,637104
4187,Banjarbaru Selatan (Banjar Baru Selatan),Kota Banjarbaru,Kalimantan Selatan,637205
4188,Banjarbaru Utara (Banjar Baru Utara),Kota Banjarbaru,Kalimantan Selatan,637204
4189,Cempaka,Kota Banjarbaru,Kalimantan Selatan,637203
4190,Landasan Ulin,Kota Banjarbaru,Kalimantan Selatan,637202
4191,Liang Anggang,Kota Banjarbaru,Kalimantan Selatan,637206
4192,Galing,Kab. Sambas,Kalimantan Barat,610111
4193,Jawai,Kab. Sambas,Kalimantan Barat,610103
4194,Jawai Selatan,Kab. Sambas,Kalimantan Barat,610116
4195,Paloh,Kab. Sambas,Kalimantan Barat,610108
4196,Pemangkat,Kab. Sambas,Kalimantan Barat,610105
4197,Sajad,Kab. Sambas,Kalimantan Barat,610114
4198,Sajingan Besar,Kab. Sambas,Kalimantan Barat,610109
4199,Salatiga,Kab. Sambas,Kalimantan Barat,610118
4200,Sambas,Kab. Sambas,Kalimantan Barat,610101
4201,Sebawi,Kab. Sambas,Kalimantan Barat,610115
4202,Sejangkung,Kab. Sambas,Kalimantan Barat,610106
4203,Selakau,Kab. Sambas,Kalimantan Barat,610107
4204,Selakau Timur,Kab. Sambas,Kalimantan Barat,610119
4205,Semparuk,Kab. Sambas,Kalimantan Barat,610113
4206,Subah,Kab. Sambas,Kalimantan Barat,610110
4207,Tangaran,Kab. Sambas,Kalimantan Barat,610117
4208,Tebas,Kab. Sambas,Kalimantan Barat,610104
4209,Tekarang,Kab. Sambas,Kalimantan Barat,610112
4210,Teluk Keramat,Kab. Sambas,Kalimantan Barat,610102
4211,Anjongan,Kab. Mempawah,Kalimantan Barat,610216
4212,Mempawah Hilir,Kab. Mempawah,Kalimantan Barat,610201
4213,Mempawah Timur,Kab. Mempawah,Kalimantan Barat,610218
4214,Sadaniang,Kab. Mempawah,Kalimantan Barat,610217
4215,Segedong,Kab. Mempawah,Kalimantan Barat,610215
4216,Sei/Sungai Kunyit,Kab. Mempawah,Kalimantan Barat,610212
4217,Sei/Sungai Pinyuh,Kab. Mempawah,Kalimantan Barat,610207
4218,Siantan,Kab. Mempawah,Kalimantan Barat,610208
4219,Toho,Kab. Mempawah,Kalimantan Barat,610206
4220,Balai,Kab. Sanggau,Kalimantan Barat,610312
4221,Beduai (Beduwai),Kab. Sanggau,Kalimantan Barat,610306
4222,Bonti,Kab. Sanggau,Kalimantan Barat,610305
4223,Entikong,Kab. Sanggau,Kalimantan Barat,610321
4224,Jangkang,Kab. Sanggau,Kalimantan Barat,610304
4225,Kapuas (Sanggau Kapuas),Kab. Sanggau,Kalimantan Barat,610301
4226,Kembayan,Kab. Sanggau,Kalimantan Barat,610308
4227,Meliau,Kab. Sanggau,Kalimantan Barat,610320
4228,Mukok,Kab. Sanggau,Kalimantan Barat,610302
4229,Noyan,Kab. Sanggau,Kalimantan Barat,610303
4230,Parindu,Kab. Sanggau,Kalimantan Barat,610309
4231,Sekayam,Kab. Sanggau,Kalimantan Barat,610307
4232,Tayan Hilir,Kab. Sanggau,Kalimantan Barat,610311
4233,Tayan Hulu,Kab. Sanggau,Kalimantan Barat,610310
4234,Toba,Kab. Sanggau,Kalimantan Barat,610313
4235,Air Upas,Kab. Ketapang,Kalimantan Barat,610421
4236,Benua Kayong,Kab. Ketapang,Kalimantan Barat,610418
4237,Delta Pawan,Kab. Ketapang,Kalimantan Barat,610416
4238,Hulu Sungai,Kab. Ketapang,Kalimantan Barat,610419
4239,Jelai Hulu,Kab. Ketapang,Kalimantan Barat,610414
4240,Kendawangan,Kab. Ketapang,Kalimantan Barat,610404
4241,Manis Mata,Kab. Ketapang,Kalimantan Barat,610403
4242,Marau,Kab. Ketapang,Kalimantan Barat,610402
4243,Matan Hilir Selatan,Kab. Ketapang,Kalimantan Barat,610412
4244,Matan Hilir Utara,Kab. Ketapang,Kalimantan Barat,610401
4245,Muara Pawan,Kab. Ketapang,Kalimantan Barat,610417
4246,Nanga Tayap,Kab. Ketapang,Kalimantan Barat,610411
4247,Pemahan,Kab. Ketapang,Kalimantan Barat,610424
4248,Sandai,Kab. Ketapang,Kalimantan Barat,610405
4249,Simpang Dua,Kab. Ketapang,Kalimantan Barat,610420
4250,Simpang Hulu,Kab. Ketapang,Kalimantan Barat,610408
4251,Singkup,Kab. Ketapang,Kalimantan Barat,610422
4252,Sungai Laur,Kab. Ketapang,Kalimantan Barat,610407
4253,Sungai Melayu Rayak,Kab. Ketapang,Kalimantan Barat,610425
4254,Tumbang Titi,Kab. Ketapang,Kalimantan Barat,610413
4255,Ambalau,Kab. Sintang,Kalimantan Barat,610515
4256,Binjai Hulu,Kab. Sintang,Kalimantan Barat,610521
4257,Dedai,Kab. Sintang,Kalimantan Barat,610507
4258,Kayan Hilir,Kab. Sintang,Kalimantan Barat,610508
4259,Kayan Hulu,Kab. Sintang,Kalimantan Barat,610509
4260,Kelam Permai,Kab. Sintang,Kalimantan Barat,610519
4261,Ketungau Hilir,Kab. Sintang,Kalimantan Barat,610504
4262,Ketungau Hulu,Kab. Sintang,Kalimantan Barat,610506
4263,Ketungau Tengah,Kab. Sintang,Kalimantan Barat,610505
4264,Sepauk,Kab. Sintang,Kalimantan Barat,610503
4265,Serawai,Kab. Sintang,Kalimantan Barat,610514
4266,Sintang,Kab. Sintang,Kalimantan Barat,610501
4267,Sungai Tebelian,Kab. Sintang,Kalimantan Barat,610520
4268,Tempunak,Kab. Sintang,Kalimantan Barat,610502
4269,Badau,Kab. Kapuas Hulu,Kalimantan Barat,610614
4270,Batang Lupar,Kab. Kapuas Hulu,Kalimantan Barat,610612
4271,Bika,Kab. Kapuas Hulu,Kalimantan Barat,610602
4272,Boyan Tanjung,Kab. Kapuas Hulu,Kalimantan Barat,610619
4273,Bunut Hilir,Kab. Kapuas Hulu,Kalimantan Barat,610605
4274,Bunut Hulu,Kab. Kapuas Hulu,Kalimantan Barat,610606
4275,Embaloh Hilir,Kab. Kapuas Hulu,Kalimantan Barat,610603
4276,Embaloh Hulu,Kab. Kapuas Hulu,Kalimantan Barat,610604
4277,Empanang,Kab. Kapuas Hulu,Kalimantan Barat,610613
4278,Hulu Gurung,Kab. Kapuas Hulu,Kalimantan Barat,610608
4279,Jongkong (Jengkong),Kab. Kapuas Hulu,Kalimantan Barat,610607
4280,Kalis,Kab. Kapuas Hulu,Kalimantan Barat,610618
4281,Mentebah,Kab. Kapuas Hulu,Kalimantan Barat,610620
4282,Pengkadan (Batu Datu),Kab. Kapuas Hulu,Kalimantan Barat,610621
4283,Puring Kencana,Kab. Kapuas Hulu,Kalimantan Barat,610623
4284,Putussibau Selatan,Kab. Kapuas Hulu,Kalimantan Barat,610617
4285,Putussibau Utara,Kab. Kapuas Hulu,Kalimantan Barat,610601
4286,Seberuang,Kab. Kapuas Hulu,Kalimantan Barat,610611
4287,Selimbau,Kab. Kapuas Hulu,Kalimantan Barat,610609
4288,Semitau,Kab. Kapuas Hulu,Kalimantan Barat,610610
4289,Silat Hilir,Kab. Kapuas Hulu,Kalimantan Barat,610615
4290,Silat Hulu,Kab. Kapuas Hulu,Kalimantan Barat,610616
4291,Suhaid,Kab. Kapuas Hulu,Kalimantan Barat,610622
4292,Bengkayang,Kab. Bengkayang,Kalimantan Barat,610704
4293,Capkala,Kab. Bengkayang,Kalimantan Barat,610711
4294,Jagoi Babang,Kab. Bengkayang,Kalimantan Barat,610707
4295,Ledo,Kab. Bengkayang,Kalimantan Barat,610703
4296,Lembah Bawang,Kab. Bengkayang,Kalimantan Barat,610716
4297,Lumar,Kab. Bengkayang,Kalimantan Barat,610713
4298,Monterado,Kab. Bengkayang,Kalimantan Barat,610708
4299,Samalantan,Kab. Bengkayang,Kalimantan Barat,610702
4300,Sanggau Ledo,Kab. Bengkayang,Kalimantan Barat,610706
4301,Seluas,Kab. Bengkayang,Kalimantan Barat,610705
4302,Siding,Kab. Bengkayang,Kalimantan Barat,610712
4303,Sungai Betung,Kab. Bengkayang,Kalimantan Barat,610714
4304,Sungai Raya,Kab. Bengkayang,Kalimantan Barat,610701
4305,Sungai Raya Kepulauan,Kab. Bengkayang,Kalimantan Barat,610715
4306,Suti Semarang,Kab. Bengkayang,Kalimantan Barat,610710
4307,Teriak,Kab. Bengkayang,Kalimantan Barat,610709
4308,Tujuh Belas,Kab. Bengkayang,Kalimantan Barat,610717
4309,Air Besar,Kab. Landak,Kalimantan Barat,610805
4310,Banyuke Hulu,Kab. Landak,Kalimantan Barat,610812
4311,Jelimpo,Kab. Landak,Kalimantan Barat,610811
4312,Kuala Behe,Kab. Landak,Kalimantan Barat,610809
4313,Mandor,Kab. Landak,Kalimantan Barat,610804
4314,Mempawah Hulu,Kab. Landak,Kalimantan Barat,610802
4315,Menjalin,Kab. Landak,Kalimantan Barat,610803
4316,Menyuke,Kab. Landak,Kalimantan Barat,610806
4317,Meranti,Kab. Landak,Kalimantan Barat,610808
4318,Ngabang,Kab. Landak,Kalimantan Barat,610801
4319,Sebangki,Kab. Landak,Kalimantan Barat,610810
4320,Sengah Temila,Kab. Landak,Kalimantan Barat,610807
4321,Sompak,Kab. Landak,Kalimantan Barat,610813
4322,Belitang,Kab. Sekadau,Kalimantan Barat,610907
4323,Belitang Hilir,Kab. Sekadau,Kalimantan Barat,610905
4324,Belitang Hulu,Kab. Sekadau,Kalimantan Barat,610906
4325,Nanga Mahap,Kab. Sekadau,Kalimantan Barat,610904
4326,Nanga Taman,Kab. Sekadau,Kalimantan Barat,610903
4327,Sekadau Hilir,Kab. Sekadau,Kalimantan Barat,610901
4328,Sekadau Hulu,Kab. Sekadau,Kalimantan Barat,610902
4329,Belimbing,Kab. Melawi,Kalimantan Barat,611001
